Date,Time,SSID,Address,Signal,Encrypted,Channel,Mode,Frequency,Bitrates,Quality
2023-03-30,12:29:57,Android os m30s,82:07:E2:A2:71:E2,-21,TRUE,1,Master,2.412 GHz,48 Mb/s,70/70
2023-03-30,12:29:57,Ishu\xE2\x80\x99s iPhone,C2:70:09:A7:99:15,-64,TRUE,6,Master,2.437 GHz,48 Mb/s,46/70
2023-03-30,12:29:57,ptest,A8:5B:F7:ED:48:04,-61,TRUE,6,Master,2.437 GHz,54 Mb/s,49/70
2023-03-30,12:29:57,eduroam,A8:5B:F7:E8:D3:E0,-64,TRUE,11,Master,2.462 GHz,54 Mb/s,46/70
2023-03-30,12:29:57,sait-secure,A8:5B:F7:E8:D3:E1,-62,TRUE,11,Master,2.462 GHz,54 Mb/s,48/70
2023-03-30,12:29:57,sait-guest,A8:5B:F7:E8:D3:E2,-62,FALSE,11,Master,2.462 GHz,54 Mb/s,48/70
2023-03-30,12:29:57,headless,A8:5B:F7:E8:D3:E3,-62,TRUE,11,Master,2.462 GHz,54 Mb/s,48/70
2023-03-30,12:29:57,ptest,A8:5B:F7:E8:D3:E4,-62,TRUE,11,Master,2.462 GHz,54 Mb/s,48/70
2023-03-30,12:29:57,eduroam,A8:5B:F7:E8:D3:F0,-54,TRUE,64,Master,5.32 GHz,54 Mb/s,56/70
2023-03-30,12:29:57,sait-secure,A8:5B:F7:E8:D3:F1,-55,TRUE,64,Master,5.32 GHz,54 Mb/s,55/70
2023-03-30,12:29:57,sait-guest,A8:5B:F7:E8:D3:F2,-54,FALSE,64,Master,5.32 GHz,54 Mb/s,56/70
2023-03-30,12:29:57,headless,A8:5B:F7:E8:D3:F3,-54,TRUE,64,Master,5.32 GHz,54 Mb/s,56/70
2023-03-30,12:29:57,ptest,A8:5B:F7:E8:D3:F4,-54,TRUE,64,Master,5.32 GHz,54 Mb/s,56/70
2023-03-30,12:29:57,eduroam,A8:5B:F7:ED:48:10,-77,TRUE,112,Master,5.56 GHz,54 Mb/s,33/70
2023-03-30,12:29:57,sait-secure,A8:5B:F7:ED:48:11,-77,TRUE,112,Master,5.56 GHz,54 Mb/s,33/70
2023-03-30,12:29:57,sait-guest,A8:5B:F7:ED:48:12,-77,FALSE,112,Master,5.56 GHz,54 Mb/s,33/70
2023-03-30,12:29:57,headless,A8:5B:F7:ED:48:13,-77,TRUE,112,Master,5.56 GHz,54 Mb/s,33/70
2023-03-30,12:29:57,ptest,A8:5B:F7:ED:48:14,-78,TRUE,112,Master,5.56 GHz,54 Mb/s,32/70
2023-03-30,12:29:57,eduroam,A8:5B:F7:E8:BD:D0,-72,TRUE,136,Master,5.68 GHz,54 Mb/s,38/70
2023-03-30,12:29:57,sait-secure,A8:5B:F7:E8:BD:D1,-73,TRUE,136,Master,5.68 GHz,54 Mb/s,37/70
2023-03-30,12:29:57,sait-guest,A8:5B:F7:E8:BD:D2,-72,FALSE,136,Master,5.68 GHz,54 Mb/s,38/70
2023-03-30,12:29:57,headless,A8:5B:F7:E8:BD:D3,-73,TRUE,136,Master,5.68 GHz,54 Mb/s,37/70
2023-03-30,12:29:57,ptest,A8:5B:F7:E8:BD:D4,-72,TRUE,136,Master,5.68 GHz,54 Mb/s,38/70
2023-03-30,12:29:57,sait-secure,A8:5B:F7:EC:A9:D1,-82,TRUE,140,Master,5.7 GHz,54 Mb/s,28/70
2023-03-30,12:29:57,sait-guest,A8:5B:F7:EC:A9:D2,-83,FALSE,140,Master,5.7 GHz,54 Mb/s,27/70
2023-03-30,12:29:57,headless,A8:5B:F7:EC:A9:D3,-83,TRUE,140,Master,5.7 GHz,54 Mb/s,27/70
2023-03-30,12:29:57,ptest,A8:5B:F7:EC:A9:D4,-82,TRUE,140,Master,5.7 GHz,54 Mb/s,28/70
2023-03-30,12:29:57,eduroam,A8:5B:F7:EC:A9:D0,-82,TRUE,140,Master,5.7 GHz,54 Mb/s,28/70
2023-03-30,12:29:57,eduroam,D0:D3:E0:92:00:C0,-81,TRUE,144,Master,5.72 GHz,54 Mb/s,29/70
2023-03-30,12:29:57,sait-secure,D0:D3:E0:92:00:C1,-78,TRUE,144,Master,5.72 GHz,54 Mb/s,32/70
2023-03-30,12:29:57,sait-guest,D0:D3:E0:92:00:C2,-79,FALSE,144,Master,5.72 GHz,54 Mb/s,31/70
2023-03-30,12:29:57,headless,D0:D3:E0:92:00:C3,-79,TRUE,144,Master,5.72 GHz,54 Mb/s,31/70
2023-03-30,12:29:57,ptest,D0:D3:E0:92:00:C4,-79,TRUE,144,Master,5.72 GHz,54 Mb/s,31/70
2023-03-30,12:29:57,headless,A8:5B:F7:E9:86:53,-86,TRUE,149,Master,5.745 GHz,54 Mb/s,24/70
2023-03-30,12:29:57,sait-guest,A8:5B:F7:E9:86:52,-85,FALSE,149,Master,5.745 GHz,54 Mb/s,25/70
2023-03-30,12:29:57,ptest,A8:5B:F7:EC:A9:C4,-67,TRUE,1,Master,2.412 GHz,54 Mb/s,43/70
2023-03-30,12:29:57,sait-guest,A8:5B:F7:ED:48:02,-62,FALSE,6,Master,2.437 GHz,54 Mb/s,48/70
2023-03-30,12:29:57,eduroam,A8:5B:F7:ED:48:00,-61,TRUE,6,Master,2.437 GHz,54 Mb/s,49/70
2023-03-30,12:29:57,headless,A8:5B:F7:ED:48:03,-64,TRUE,6,Master,2.437 GHz,54 Mb/s,46/70
2023-03-30,12:29:57,sait-guest,A8:5B:F7:E8:8B:92,-72,FALSE,40,Master,5.2 GHz,54 Mb/s,38/70
2023-03-30,12:29:57,ptest,A8:5B:F7:E8:8B:94,-73,TRUE,40,Master,5.2 GHz,54 Mb/s,37/70
2023-03-30,12:29:57,eduroam,A8:5B:F7:E8:8F:90,-82,TRUE,52,Master,5.26 GHz,54 Mb/s,28/70
2023-03-30,12:29:57,sait-secure,A8:5B:F7:E8:8F:91,-82,TRUE,52,Master,5.26 GHz,54 Mb/s,28/70
2023-03-30,12:29:57,sait-guest,A8:5B:F7:E8:8F:92,-82,FALSE,52,Master,5.26 GHz,54 Mb/s,28/70
2023-03-30,12:29:57,headless,A8:5B:F7:E8:8F:93,-82,TRUE,52,Master,5.26 GHz,54 Mb/s,28/70
2023-03-30,12:29:57,ptest,A8:5B:F7:E8:8F:94,-82,TRUE,52,Master,5.26 GHz,54 Mb/s,28/70
